%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 512200945, time taken: 199 microseconds
[Randmoised Selection] - Median: 512200945, time taken: 5 microseconds
[Median of Medians] - Median: 512200945, time taken: 75 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 516110171, time taken: 192 microseconds
[Randmoised Selection] - Median: 516110171, time taken: 3 microseconds
[Median of Medians] - Median: 516110171, time taken: 78 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 498906025, time taken: 302 microseconds
[Randmoised Selection] - Median: 498906025, time taken: 4 microseconds
[Median of Medians] - Median: 498906025, time taken: 108 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 480422840, time taken: 300 microseconds
[Randmoised Selection] - Median: 480422840, time taken: 4 microseconds
[Median of Medians] - Median: 480422840, time taken: 64 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 527210133, time taken: 301 microseconds
[Randmoised Selection] - Median: 527210133, time taken: 12 microseconds
[Median of Medians] - Median: 527210133, time taken: 110 microseconds
--------------------------------------[Arrays of size 2500]--------------------------------------
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 499555884, time taken: 504 microseconds
[Randmoised Selection] - Median: 499555884, time taken: 10 microseconds
[Median of Medians] - Median: 499555884, time taken: 188 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 507774175, time taken: 516 microseconds
[Randmoised Selection] - Median: 507774175, time taken: 6 microseconds
[Median of Medians] - Median: 507774175, time taken: 161 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 499273178, time taken: 485 microseconds
[Randmoised Selection] - Median: 499273178, time taken: 5 microseconds
[Median of Medians] - Median: 499273178, time taken: 143 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 507020274, time taken: 513 microseconds
[Randmoised Selection] - Median: 507020274, time taken: 5 microseconds
